YearIncurred,totalIncurred,lossDescription,peril,yearsInsured,stateRisk,postcodeRisk,anzsic2_code,anzsic2_desc,anzsic4_code,anzsic4_desc,occupancy,locality,roofType,wallType,floorType,fireprotecAlarm,fireprotecBlanket,fireprotecFexting,fireprotecHose,fireprotecMonitored,fireprotecMthermal,fireprotecNmonitored,fireprotecNthermal,buildingSI
2015," 18,725.40 ",Bursting / Leaking - Water,Water,0,VIC,3184,91,Sports and Recreation Activities,9111,Health and Fitness Centres and Gymnasia Operation,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 315,261.88 "
2014," 4,096.80 ",MALICIOUS DAMAGE,Malicious Damage,3,NSW,2131,95,Personal and Other Services,9511,Hairdressing and Beauty Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,Y,N," 1,159,681.54 "
2014," 1,400.62 ",MALICIOUS DAMAGE,Malicious Damage,2,QLD,4160,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,Y,Y,N,N,N,N,N," 336,887.83 "
2014," 25,830.39 ",MACHINERY/MECHANICAL BREAKDOWN,Other Property Damage,0,QLD,4178,85,Medical and Other Health Care Services,8533,Physiotherapy Services,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,N,N,Y,N,N,N,N,N," 830,462.79 "
2013, 98.85 ,FIRE (NOT ARSON),Fire,2,NSW,2089,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,897,361.13 "
2014," 3,849.66 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,1,QLD,4227,34,Machinery and Equipment Wholesaling,3494,Other Electrical and Electronic Goods Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,927,933.19 "
2014," 240,117.62 ",MALICIOUS DAMAGE,Malicious Damage,2,SA,5000,42,Other Store-Based Retailing,4251,Clothing Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,WOOD,Y,N,Y,N,N,N,Y,N," 1,753,150.61 "
2011," 4,432.78 ",MALICIOUS DAMAGE,Malicious Damage,0,SA,5007,36,"Grocery, Liquor and Tobacco Product Wholesaling",3606,Liquor and Tobacco Product Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 358,910.19 "
2012," 20,718.68 ",ARSON/INTENTIONAL FIRE/EXPLSN,Fire,2,NSW,2168,41,Food Retailing,4121,"Fresh Meat, Fish and Poultry Retailing",PROPOWNER,MAINRD,CONCRETE,CONCRETSTO,CONCRETE,N,N,N,N,N,N,N,N," 327,811.78 "
2014," 27,758.04 ",FIRE (NOT ARSON),Fire,5,WA,6100,94,Repair and Maintenance,9412,"Automotive Body, Paint and Interior Repair",PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 305,501.20 "
2013, 696.90 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,1,NSW,2204,11,Food Product Manufacturing,1174,Bakery Product Manufacturing (Non-factory based),PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,068,586.44 "
2015," 1,172.92 ",Malicious Damage / Vandalism (Not Tenant),Malicious Damage,6,NSW,2170,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,632,872.88 "
2012, 435.80 ,MALICIOUS DAMAGE,Malicious Damage,0,SA,5048,95,Personal and Other Services,9511,Hairdressing and Beauty Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 426,426.40 "
2013," 2,289.71 ",MALICIOUS DAMAGE,Malicious Damage,0,QLD,4118,25,Furniture and Other Manufacturing,2511,Wooden Furniture and Upholstered Seat Manufacturing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,Y,N,N,N,N," 1,090,597.12 "
2010," 11,267.53 ",NEC WATER DAMAGE,Water,0,NSW,2790,33,Basic Material Wholesaling,3319,Other Agricultural Product Wholesaling,PROPOWNER,MAINRD,ASBESTOS,BRICK,UNKNOWN,N,N,N,N,N,N,N,N," 325,190.01 "
2013, 100.70 ,NEC WATER DAMAGE,Water,1,NSW,2486,42,Other Store-Based Retailing,4231,Hardware and Building Supplies Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,N,N,Y,Y,N,N,N,N," 6,847,564.11 "
2011," 1,558.93 ",NEC WATER DAMAGE,Water,2,NSW,2020,13,"Textile, Leather, Clothing and Footwear Manufacturing",1320,"Leather Tanning, Fur Dressing and Leather Product Manufacturing",PROPOWNER,INDUST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 595,423.35 "
2015," 3,057.59 ",Malicious Damage / Vandalism (Not Tenant),Malicious Damage,1,WA,6000,56,Broadcasting (except Internet),5610,Radio Broadcasting,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 655,677.11 "
2012," 1,727.31 ",NEC WATER DAMAGE,Water,0,SA,5000,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 3,485,429.99 "
2012," 1,270.74 ",VEHICLE DAMAGE/OVERTURNING,Other Property Damage,0,SA,5000,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 3,564,796.31 "
2011," 3,291.85 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,1,NSW,2263,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 501,735.52 "
2011," 17,058.72 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,1,NSW,2263,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 338,517.18 "
2011," 1,116.75 ",OVERFLOW/DEFECT IN WATER APPAR,Water,0,VIC,3175,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,Y,Y,N,N,N,N,N," 985,126.41 "
2012," 6,589.06 ",ACCIDENTAL BREAKAGE (NOTGLASS),Accident Loss or Damage,0,QLD,4350,34,Machinery and Equipment Wholesaling,3494,Other Electrical and Electronic Goods Wholesaling,PROPOWNER,CONVERSION,ASBESTOS,BRICK,UNKNOWN,N,N,N,N,N,N,N,N," 953,111.28 "
2015," 4,105.19 ",Impact/damage by object/vehicle/person,Impact by Third Party,1,WA,6168,32,Construction Services,3223,Roofing Services,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,N,N,Y,N,N,N,N,N," 1,752,658.38 "
2014," 4,695.82 ",Accidental Loss Or Damage - Breakage / Denting / Crushing,Accident Loss or Damage,1,WA,6168,32,Construction Services,3223,Roofing Services,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,N,N,Y,N,N,N,N,N," 1,701,508.82 "
2010," 12,976.05 ",ACCIDENTAL BREAKAGE (NOTGLASS),Accident Loss or Damage,0,WA,6714,46,Road Transport,4610,Road Freight Transport,PROPOWNER,INDUST,ASBESTOS,BRICK,UNKNOWN,N,N,N,N,N,N,N,N," 1,877,911.19 "
2015," 4,005.83 ",Bursting / Leaking - Water,Water,6,VIC,3051,94,Repair and Maintenance,9429,Other Machinery and Equipment Repair and Maintenance,PROPOWNER,CONVERSION,FIBRCEMENT,BRICK,CONCRETE,N,N,Y,Y,N,N,Y,N," 412,913.43 "
2010, 893.06 ,MALICIOUS DAMAGE,Malicious Damage,0,NSW,2044,40,Fuel Retailing,4000,Fuel Retailing,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 475,032.20 "
2015," 1,026.59 ",Impact/damage by object/vehicle/person,Impact by Third Party,6,NSW,2170,41,Food Retailing,4129,Other Specialised Food Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,467,760.13 "
2015," 267,907.24 ",Fire (Non-Natural Occurrence),Fire,5,WA,6163,21,Primary Metal and Metal Product Manufacturing,2142,"Aluminium Rolling, Drawing, Extruding",PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,Y,N,Y,Y,N,N,N,N," 4,330,253.20 "
2015," 302,792.16 ",Fire (Non-Natural Occurrence),Fire,5,WA,6163,21,Primary Metal and Metal Product Manufacturing,2142,"Aluminium Rolling, Drawing, Extruding",PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,Y,N,Y,Y,N,N,N,N," 4,894,107.13 "
2011," 5,535.46 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,2,NSW,2162,85,Medical and Other Health Care Services,8531,Dental Services,PROPOWNER,MAINRD,OTHMIXED,OTHMIXED,OTHMIXED,N,N,N,N,N,N,N,N," 200,642.22 "
2012," 11,069.15 ",MALICIOUS DAMAGE,Malicious Damage,2,QLD,4211,94,Repair and Maintenance,9411,Automotive Electrical Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,769,483.59 "
2012," 2,852.72 ",MACHINERY/MECHANICAL BREAKDOWN,Other Property Damage,2,QLD,4211,94,Repair and Maintenance,9411,Automotive Electrical Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,633,130.01 "
2012, 992.65 ,NEC WATER DAMAGE,Water,3,VIC,3046,41,Food Retailing,4121,"Fresh Meat, Fish and Poultry Retailing",PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,OTHMIXED,N,N,Y,N,N,N,N,N," 297,297.42 "
2011," 1,347.43 ",NEC WATER DAMAGE,Water,0,VIC,3205,42,Other Store-Based Retailing,4221,"Electrical, Electronic and Gas Appliance Retailing",PROPOWNER,OFFICEFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,243,780.59 "
2011," 29,911.70 ",MALICIOUS DAMAGE,Malicious Damage,0,VIC,3205,42,Other Store-Based Retailing,4221,"Electrical, Electronic and Gas Appliance Retailing",PROPOWNER,OFFICEFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,125,769.62 "
2012," 3,520.61 ",ACCIDENTAL BREAKAGE (NOTGLASS),Accident Loss or Damage,2,VIC,3205,42,Other Store-Based Retailing,4221,"Electrical, Electronic and Gas Appliance Retailing",PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,592,005.02 "
2015," 3,406.21 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,2,SA,5013,42,Other Store-Based Retailing,4211,Furniture Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,IRONSTEFR,CONCRETE,Y,N,Y,N,N,N,Y,N," 1,545,852.78 "
2012," 27,800.58 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,0,VIC,3028,34,Machinery and Equipment Wholesaling,3411,Agricultural and Construction Machinery Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 582,869.66 "
2012, 229.02 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,3,NSW,2164,66,Rental and Hiring Services (except Real Estate),6639,Other Goods and Equipment Rental and Hiring n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,782,047.28 "
2012," 2,237.40 ",MALICIOUS DAMAGE,Malicious Damage,2,NSW,2280,82,"Adult, Community and Other Education",8219,"Adult, Community and Other Education n.e.c.",PROPOWNER,CONVERSION,ALLOYSTEEL,WOOD,WOOD,N,N,Y,N,N,N,Y,N," 136,835.39 "
2012," 2,193.97 ",THEFT,Malicious Damage,2,NSW,2280,82,"Adult, Community and Other Education",8219,"Adult, Community and Other Education n.e.c.",PROPOWNER,CONVERSION,ALLOYSTEEL,WOOD,WOOD,N,N,Y,N,N,N,Y,N," 160,534.49 "
2011," 1,138.82 ",MALICIOUS DAMAGE,Malicious Damage,1,QLD,4503,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,Y,N,Y,N,N,N,N,N," 643,682.63 "
2010," 5,814.99 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,0,NSW,2750,11,Food Product Manufacturing,1174,Bakery Product Manufacturing (Non-factory based),PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 934,992.62 "
2014," 2,598.58 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,5,NSW,2750,11,Food Product Manufacturing,1174,Bakery Product Manufacturing (Non-factory based),PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,Y,N,Y,N,N,N,N,N," 717,727.09 "
2014," 2,072.86 ",OVERFLOW/DEFECT IN WATER APPAR,Water,3,NSW,2259,85,Medical and Other Health Care Services,8539,Other Allied Health Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,Y,Y,Y,N,N,N,N," 1,078,388.75 "
2012, 978.28 ,ACCIDENTAL BREAKAGE (NOTGLASS),Accident Loss or Damage,0,WA,6053,94,Repair and Maintenance,9412,"Automotive Body, Paint and Interior Repair",PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 294,456.24 "
2011," 3,256.77 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,0,NSW,2214,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,Y,Y,N,N,N,N,N," 1,145,119.77 "
2015," 5,373.66 ",MALICIOUS DAMAGE,Malicious Damage,5,VIC,3931,39,Motor Vehicle and Motor Vehicle Parts Retailing,3911,Car Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,Y,N," 355,602.09 "
2012," 1,799.00 ",OVERFLOW/DEFECT IN WATER APPAR,Water,0,NSW,2705,85,Medical and Other Health Care Services,8533,Physiotherapy Services,PROPOWNER,OFFICEFRST,ALLOYSTEEL,CONCRETSTO,CONCRETE,N,N,Y,Y,Y,N,N,N," 791,074.29 "
2015," 2,647.84 ",OVERFLOW/DEFECT IN WATER APPAR,Water,6,NSW,2010,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",6940,Advertising Services,PROPOWNER,CONVERSION,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N," 3,861,395.62 "
2014," 30,742.66 ",NEC WATER DAMAGE,Water,0,VIC,3962,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 275,941.91 "
2015," 6,336.50 ",Bursting / Leaking - Other Liquid (Not Water),Water,5,VIC,3564,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,WOOD,N,N,Y,N,Y,N,N,Y," 5,513,904.23 "
2012," 2,217.95 ",MALICIOUS DAMAGE,Malicious Damage,1,NSW,2035,42,Other Store-Based Retailing,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,354,138.25 "
2015, 409.40 ,Malicious Damage / Vandalism (Not Tenant),Malicious Damage,2,NSW,2068,42,Other Store-Based Retailing,4214,Manchester and Other Textile Goods Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,Y,N,N,Y,N," 759,410.03 "
2014," 37,834.43 ",MALICIOUS DAMAGE,Malicious Damage,4,VIC,3020,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 355,830.69 "
2012," 6,152.36 ",MALICIOUS DAMAGE,Malicious Damage,0,QLD,4305,62,Finance,6221,Banking,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,612,055.35 "
2015," 5,923.30 ",MALICIOUS DAMAGE,Malicious Damage,2,TAS,7172,35,Motor Vehicle and Motor Vehicle Parts Wholesaling,3504,Motor Vehicle New Parts Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 485,550.95 "
2015," 2,607.83 ",NEC WATER DAMAGE,Water,4,VIC,3141,42,Other Store-Based Retailing,4252,Footwear Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,WOOD,N,N,Y,N,N,N,N,N," 984,971.91 "
2011," 11,173.67 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,1,TAS,7250,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,SCENTREINT,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 460,021.13 "
2012," 4,739.97 ",FIRE (NOT ARSON),Fire,2,TAS,7250,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 522,764.84 "
2014, 931.42 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,5,NSW,2161,22,Fabricated Metal Product Manufacturing,2223,Architectural Aluminium Product Manufacturing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 547,895.04 "
2013," 3,247.07 ",NEC WATER DAMAGE,Water,4,VIC,3305,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,IRONSTEFR,WOOD,Y,N,N,N,N,N,N,N," 819,279.76 "
2011," 2,474.38 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,0,TAS,7009,13,"Textile, Leather, Clothing and Footwear Manufacturing",1333,Cut and Sewn Textile Product Manufacturing,PROPOWNER,INDUST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 3,220,753.25 "
2014," 1,621.72 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,3,TAS,7009,13,"Textile, Leather, Clothing and Footwear Manufacturing",1333,Cut and Sewn Textile Product Manufacturing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 4,422,126.60 "
2012," 2,403.40 ",MACHINERY/MECHANICAL BREAKDOWN,Other Property Damage,0,NT,835,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 2,907,707.73 "
2015," 108,788.75 ",ARSON/INTENTIONAL FIRE/EXPLSN,Fire,3,VIC,3029,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,CONVERSION,CONCRETSLA,BRICK,CONCRETE,Y,N,Y,N,N,N,N,N," 383,558.25 "
2011, 305.83 ,MALICIOUS DAMAGE,Malicious Damage,1,WA,6090,94,Repair and Maintenance,9412,"Automotive Body, Paint and Interior Repair",PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 1,384,926.77 "
2011, 559.26 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,0,QLD,4215,40,Fuel Retailing,4000,Fuel Retailing,PROPOWNER,SUBSTFRST,ALLOYSTEEL,CONCRETSTO,CONCRETE,Y,Y,Y,Y,Y,N,N,N," 687,045.86 "
2013, 944.58 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,3,QLD,4215,40,Fuel Retailing,4000,Fuel Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSTO,CONCRETE,Y,N,Y,Y,Y,N,N,N," 1,978,503.46 "
2015, 487.10 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,4,QLD,4215,40,Fuel Retailing,4000,Fuel Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSTO,CONCRETE,Y,N,Y,Y,Y,N,N,N," 1,885,401.18 "
2013," 11,585.97 ",ACCIDENTAL BREAKAGE (NOTGLASS),Accident Loss or Damage,2,WA,6017,33,Basic Material Wholesaling,3332,Plumbing Goods Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSTO,CONCRETE,Y,N,Y,Y,Y,N,N,Y," 3,499,615.73 "
2014," 7,415.82 ",MALICIOUS DAMAGE,Malicious Damage,3,VIC,3072,85,Medical and Other Health Care Services,8534,Chiropractic and Osteopathic Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,Y,N," 435,614.54 "
2011, 438.27 ,MALICIOUS DAMAGE,Malicious Damage,1,QLD,4208,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 4,304,423.07 "
2012," 27,550.02 ",ACCIDENTAL BREAKAGE (NOTGLASS),Accident Loss or Damage,2,QLD,4208,42,Other Store-Based Retailing,4279,Other Store-Based Retailing n.e.c.,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSTO,CONCRETE,N,N,N,Y,N,N,N,N," 4,682,154.64 "
2012," 165,437.55 ",FIRE (NOT ARSON),Fire,1,NSW,2541,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,Y,Y,Y,N,N,Y,N," 635,191.00 "
2014," 3,022.09 ",MALICIOUS DAMAGE,Malicious Damage,3,NSW,2130,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 682,939.18 "
2015,-501.46 ,Impact/damage by object/vehicle/person,Impact by Third Party,4,NSW,2130,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 600,184.17 "
2015," 6,858.24 ",MALICIOUS DAMAGE,Malicious Damage,3,NSW,2015,20,Non-Metallic Mineral Product Manufacturing,2090,Other Non-Metallic Mineral Product Manufacturing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 672,600.01 "
2014," 4,823.49 ",MALICIOUS DAMAGE,Malicious Damage,3,NSW,2016,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",6924,Other Specialised Design Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,Y,N,N,N," 1,906,381.89 "
2013," 422,165.09 ",FIRE (NOT ARSON),Fire,1,QLD,4183,95,Personal and Other Services,9531,Laundry and Dry-Cleaning Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,Y,N," 343,964.32 "
2014," 4,314.19 ",OVERFLOW/DEFECT IN WATER APPAR,Water,1,NSW,2203,95,Personal and Other Services,9511,Hairdressing and Beauty Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 496,066.82 "
2014," 8,076.22 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,3,NSW,2340,33,Basic Material Wholesaling,3339,Other Hardware Goods Wholesaling,PROPOWNER,CONVERSION,ASBESTOS,BRICK,UNKNOWN,N,N,N,N,N,N,N,N," 372,290.60 "
2012," 2,195.19 ",MALICIOUS DAMAGE,Malicious Damage,1,NSW,2210,36,"Grocery, Liquor and Tobacco Product Wholesaling",3604,Fish and Seafood Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,Y,N,N,Y,N," 336,980.77 "
2014, 45.68 ,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,0,NSW,2541,34,Machinery and Equipment Wholesaling,3494,Other Electrical and Electronic Goods Wholesaling,PROPOWNER,CONVERSION,ALLOYSTEEL,CONCRETSLA,CONCRETE,N,N,Y,N,N,N,N,N," 629,342.63 "
2011," 1,939.04 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,0,QLD,4220,37,Other Goods Wholesaling,3720,Pharmaceutical and Toiletry Goods Wholesaling,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,N,N,N,N,N," 560,722.36 "
2013," 21,469.60 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,1,NSW,2168,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,CONVERSION,CONCRETSLA,BRICK,CONCRETE,N,N,Y,N,Y,N,N,N," 889,229.74 "
2014," 1,434.52 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,3,VIC,3198,22,Fabricated Metal Product Manufacturing,2221,Structural Steel Fabricating,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,Y,Y,Y,N,N,N," 518,849.32 "
2013," 3,695.16 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,1,NSW,2571,94,Repair and Maintenance,9412,"Automotive Body, Paint and Interior Repair",PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,Y,N,Y,Y,N,N,N,N," 1,067,982.13 "
2014," 1,676.75 ",NEC WATER DAMAGE,Water,2,NSW,2571,94,Repair and Maintenance,9412,"Automotive Body, Paint and Interior Repair",PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,Y,N,Y,Y,N,N,N,N," 1,092,748.78 "
2012," 3,863.48 ",MALICIOUS DAMAGE,Malicious Damage,3,VIC,3051,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",6924,Other Specialised Design Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 528,770.26 "
2012," 6,428.16 ",IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,3,VIC,3051,69,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",6924,Other Specialised Design Services,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N," 528,677.06 "
2015," 6,297.01 ",Impact/damage by object/vehicle/person,Impact by Third Party,0,NSW,2340,94,Repair and Maintenance,9499,Other Repair and Maintenance n.e.c.,PROPOWNER,CONVERSION,ASBESTOS,BRICK,UNKNOWN,N,N,N,N,N,N,N,N," 1,091,747.31 "
